Date,DeviceSerialNumber,SensorType,Value,Unit,Status
2021-12-25T11:40,CH20211110,Temperature,26.1,oC,good
2021-12-25T11:45,CH20211110,Temperature,26,oC,good
2021-12-25T11:50,CH20211110,Temperature,26,oC,good
2021-12-25T11:55,CH20211110,Temperature,26,oC,good
2021-12-25T12:00,CH20211110,Temperature,26,oC,good
2021-12-25T12:05,CH20211110,Temperature,26,oC,good
2021-12-25T12:10,CH20211110,Temperature,26,oC,good
2021-12-25T12:15,CH20211110,Temperature,26,oC,good
2021-12-25T12:20,CH20211110,Temperature,26,oC,good
2021-12-25T12:25,CH20211110,Temperature,25.9,oC,good
2021-12-25T12:30,CH20211110,Temperature,25.9,oC,good
2021-12-25T12:35,CH20211110,Temperature,25.9,oC,good
2021-12-25T12:40,CH20211110,Temperature,25.9,oC,good
2021-12-25T12:45,CH20211110,Temperature,25.9,oC,good
2021-12-25T12:50,CH20211110,Temperature,25.9,oC,good
2021-12-25T12:55,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:00,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:05,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:10,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:15,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:20,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:25,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:30,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:35,CH20211110,Temperature,25.8,oC,good
2021-12-25T13:40,CH20211110,Temperature,25.9,oC,good
2021-12-25T13:45,CH20211110,Temperature,25.8,oC,good
2021-12-25T13:50,CH20211110,Temperature,25.8,oC,good
2021-12-25T13:55,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:00,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:05,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:10,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:15,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:20,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:25,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:30,CH20211110,Temperature,25.8,oC,good
2021-12-25T14:35,CH20211110,Temperature,25.7,oC,good
2021-12-25T14:40,CH20211110,Temperature,25.8,oC,good
2021-12-25T7:25,CH20211110,Temperature,26.2,oC,good
2021-12-25T7:30,CH20211110,Temperature,26.2,oC,good
